,LULU
2018-10-05,151.46
2018-10-04,156.33
2018-10-03,159.35
2018-10-02,160.00
2018-10-01,161.19
2018-09-28,161.25
2018-09-27,158.66
2018-09-26,156.77
2018-09-25,157.08
2018-09-24,156.03
2018-09-21,154.63
2018-09-20,154.39
2018-09-19,154.05
2018-09-18,153.80
2018-09-17,154.82
2018-09-14,152.47
2018-09-13,152.20
2018-09-12,150.87
2018-09-11,152.20
2018-09-10,151.50
2018-09-07,150.59
2018-09-06,150.78
2018-09-05,152.08
2018-09-04,154.71
2018-08-31,153.01
2018-08-30,135.69
2018-08-29,135.08
2018-08-28,137.12
2018-08-27,137.79
2018-08-24,136.68
2018-08-23,134.61
2018-08-22,135.38
2018-08-21,134.69
2018-08-20,130.31
2018-08-17,129.08
2018-08-16,127.17
2018-08-15,125.06
2018-08-14,127.59
2018-08-13,129.29
2018-08-10,126.78
2018-08-09,127.11
2018-08-08,124.85
2018-08-07,124.99
2018-08-06,124.38
2018-08-03,124.35
2018-08-02,120.53
2018-08-01,119.55
2018-07-31,117.66
2018-07-30,118.65
2018-07-27,118.85
2018-07-26,123.19
2018-07-25,122.94
2018-07-24,122.40
2018-07-23,125.07
2018-07-20,126.29
2018-07-19,127.00
2018-07-18,127.52
2018-07-17,127.02
2018-07-16,124.79
2018-07-13,124.91
2018-07-12,125.02
2018-07-11,124.62
2018-07-10,126.27
2018-07-09,125.88
2018-07-06,124.50
2018-07-05,123.95
2018-07-03,124.97
